["Ok so in like three days or less my crewneck comes in HOPEFULLY", "Arkansas"] 
["DM", "Washington"]
["ITS ALWAYS SLIME SEASON CAUSE IM A BLOOOOD on bloooood", "Washington"]
["When you a second semester senior and you got into Harvard already", "Washington"]
["", "Washington"]
["Watching wentz workout today marks completion of Triple Crown and Pro day Has a ton of positive traits", "Washington"]
["Stop drawing in cheek bones bih", "Washington"]
["Many thanks for sharing valuable feedback amp important insights which are most appreciated You make good points gratitude", "Washington"]
["trynna save money but", "Washington"]
["I can t lie I miss you but boy we would be getting rid of some friends if you fwm again Lol", "Washington"]
["People who fight fire with fire usually end up with ashes", "Washington"]
["you know it lol", "Washington"]
["This is why Kenya MUST reform electoral body to avoid recurrence of the 2007 08 poll pogroms", "Washington"]
["SS3 tomorrow", "Washington"]
["love this weather", "Washington"]
["super hot smh", "Washington"]
["Omg this is everything", "Washington"]
["at ur crib", "Washington"]
["I m Mary Jane That s like my favorite name", "Washington"]
["PicOfTheDay AtlanticShoresRealty FootprintsInTheSand Shells OceanView RealEstate Have a great EasterWeekend", "Washington"]
["and i", "Washington"]
["DindarDe ilSap kNesil BU ORSBU OCUKLARI B YLE NES L ST YOR NAN LARINA G RDE KARDE KARDE BECERM", "Washington"]
["I LOVE MUSIC MAKES ME HAPPY", "Washington"]
["Verses crew member read an awesome piece dedicated to members of the Verses crew", "Washington"]
["Big changes coming to 14th amp Rhode Island NW Former Caribou Coffe location", "Washington"]
["", "Washington"]
["when you realize another 11 hours in the car until Florida floridabound comequicker", "Washington"]
["royals I get these two flags mixed up every time", "Washington"]
["omfg fckn nice", "Washington"]
["Team Android ftw I have an LG G3 and it s my favorite phone ever really reliable and takes the best photos", "Washington"]
["anyone know any good movies to watch while avoiding hw lol", "Washington"]
["", "Washington"]
["Join the Accountemps team See our latest Accounting job opening here Arlington VA Hiring CareerArc", "Washington"]
["avi gt", "Washington"]
["amp that it makes you mad", "Washington"]
["So hungry", "Washington"]
["", "Washington"]
["D Cohen I don t I think to say The DCHC scene was stagnant ignores why DCHC disappeared as its own scene", "Washington"]
["I m freaking pissed", "Washington"]
["proudmember", "Washington"]
["I made a good point there", "Washington"]
["We are now on Snapchat Please join us we welcome all friends Shady Spring Pet Retreat", "Washington"]
["I will never ever talk about politics ever again in my fucking life", "Washington"]
["er", "Washington"]
["Well hello friend", "Washington"]
["ASVAB test made me tired", "Washington"]
["x0x0 omg lol chink af like can I open my eyes", "Washington"]
["RUNS AWAY WITH MITAMA LIFTED OVER MY HEAD FOOL", "Washington"]
["Tropical smoothie sounds sooo good rn", "Washington"]
["Convention Yes start with chocolate kisses Don t forget often makes Baklava Yum", "Washington"]
["Theorist wow they must ve done lost their minds", "Washington"]
["Thing is on Twitter People only read your headline not the article That s what 95 of Twitter does Fact", "Washington"]
["starrxxx", "Washington"]
["2 5 2", "Washington"]
["NATO may not be obsolete but we DO pay much more than our share 4 those who ill appreciate it Those protected by us do need 2 pony up", "Washington"]
["facts but LSU whole secondary was strapped dat year wit Honey Badger n dem so dey jus wanted a piece a da pie fr", "Washington"]
["Laha Birbal Akbarji Its SABKiHoli lets play", "Washington"]
["Gotta keep my niggas in check", "Washington"]
["x0x0 that s the day we day drank w the boys and skipped", "Washington"]
["I will pay someone to come bring tropical smoothie to my house", "Washington"]
["PicOfTheDay AtlanticShoresRealty FootprintsInTheSand Shells OceanView RealEstate Have a great EasterWeekend", "Washington"]
["Yo sooner or later i will be in ultra", "Washington"]
["We re hiring Read about our latest job opening here VP Director of Finance RHMRJobs WASHINGTON DC Finance", "Washington"]
["", "Washington"]
["FlintWaterCrisis inquiry finds state ignored warning signs writes", "Washington"]
["I kinda find it strange how the times have changed", "Washington"]
["Karadzic in 1990 was a charismatic amp skillfully opportunistic politician a Trump of his time", "Washington"]
["i used to break in the crib now i gotta safe in the crib", "Washington"]
["TBT tbthursday The Ambassador s Ball circa 2001", "Washington"]
["2015 Mahindra mPact XTV 1000L 3 seater Cash 15 538 or 84 months 221 00 1 866 787 2699", "Washington"]
["Hit that bitch and kicked her out cause I don t cuuuuddle", "Washington"]
["", "Washington"]
["So many Hannah Montanna things on my tl", "Washington"]
["This the only way I think until somebody prove otherwise family included", "Washington"]
["Rob U And Sell U A Bomb After", "Washington"]
["Add Papa Bush Bill Clinton and Barack Obama to that list", "Washington"]
["i had a one night thing one night thing", "Washington"]
["real real", "Washington"]
["Fuck a lot crew cut Lol", "Washington"]
["", "Washington"]
["Finally hair done tomorrow lauriegonnafixmymess", "Washington"]
["Trumpo gotta go on the View but he is an idiot", "Washington"]
["Yall trolling now lmaoo", "Washington"]
["I m the only one who didn t post this yet", "Washington"]
["We re hiring Read about our latest job opening here Assistant General Manager Arlington VA Hospitality", "Washington"]
["The go through QBS like I do socks beware carsonwentz talk to your agent Unless they are willing to change the culture", "Washington"]
["vargasjv with a mean left D C Armory", "Washington"]
["Looks like UVA will have their hands full pretty soon", "Washington"]
["It s vitally important for government authorities to clear contaminated areas Please share", "Washington"]
["If is the best candidate to beat HillaryClinton then why waste time on Cruz Kasich4Us should be the pick at gop convention", "Washington"]
["", "Washington"]
["It s my Friday Dyl", "Washington"]
["WONDER nofilter renwick wonder wonderexhibit dc gallery travel art Renwick", "Washington"]
["", "Washington"]
["D Cohen All you need is a genetic algorithm that classifies music a la Pandora and a time table", "Washington"]
["Sav2 exactly my thoughts", "Washington"]
["Time to be myself again", "Washington"]
["I am part of a groupie", "Washington"]
["I want a Kylie lipkit", "Washington"]
["I agree NATO no good Thought that for awhile USA can and will do better under Trump administration", "Washington"]
["I think", "Washington"]
["we all hate your liud personality and Carson doesn t sell u well Grow up", "Washington"]
["LOML I will after the mud bog", "Washington"]
["Beautiful day for a beautiful deal 1 Oysters amp 2 Beers de", "Washington"]
["Didn t wanna fuck with me when I was broke now I m coming up all you bitches wanna be my friend lls", "Washington"]
["when you amp are twins but she finds love b4 you do", "Washington"]
["Heartbreaking", "Washington"]
["I ve been going Steph so far", "Washington"]
["They fucked up my tweet", "Washington"]
["exactly like the first program he did and look how well that worked", "Washington"]
["Oh I wish I would wuit you shrimptacoday deliciousness", "Washington"]
["Yeah one man s opinion He has a point but ISIS has evolved into a global revolutionary movement", "Washington"]
["Spring is kicking my ass", "Washington"]
["we need another rained out Nata game", "Washington"]
["how we ask How Real answer requested", "Washington"]
["", "Washington"]
["I love celineeeyyy", "Washington"]
["Gotta have some US AU jackdaniels with these", "Washington"]
["right tf they expect", "Washington"]
["", "Washington"]
["Perhaps not but we could add the features to CoreConnect for Law Enforcement cc", "Washington"]
["I dont know why I bought this big ass iPhone 6 Plus", "Washington"]
["haha that made me lol", "Washington"]
["Justice still has a long way to go on many levels for the heinous crimes in the Balkans but the ICTY verdict today is a victory karajdzic", "Washington"]
["We re hiring Click to apply Pharmacy Technician Infusion Baltimore MD Healthcare Columbia MD Job Jobs", "Washington"]
["Verses crew member with tears in her eyes shared a poem at Verses lastnight She", "Washington"]
["Lori thx 4 like Recent events in Brussels amp Havana show why we are crying out for Strong Leadership Keep the Faith in Trump", "Washington"]
["Me and shawna be trying to match each other like what s mine isn t here and vise Versa", "Washington"]
["i think it s a good state for TRUMP", "Washington"]
["i was cryingggggggg", "Washington"]
["Theorist that looks worse tbh just hosting the head off as the neck turns to butter", "Washington"]
["Welcome to the club RaceToOpeningDay", "Washington"]
["Emi no junkin on da bed Emi getting schooled by the queen of TheRulesDontApplyToMe Ashner", "Washington"]
["Thx for joining us this am Here s the video More on healing arts", "Washington"]
["nas l bu kadar yak abiliyor", "Washington"]
["why is the longest line here the one to pick up the quick queue wristband I already paid for ironic", "Washington"]
["HeyFollowKHAY girl bye Kayla just wanted the scoop from earlier that s all", "Washington"]
["Shoulda spent that ona Ft with Young Moe", "Washington"]
["Round 3 in virginia golftrip Ingleside Golf Resort in Staunton VA", "Washington"]
["Don t pay the blk market price Watch on TV and SAVE hard earn", "Washington"]
["If your my friend only talk about kardashians or music", "Washington"]
["Yoo they funny af", "Washington"]
["All Lucas does during math is snapchat me pictures of myself", "Washington"]
["If the type of Car YOUR Man Drives makes you Happy thats just sad", "Washington"]
["on gee i been waiting to bust yogi nina", "Washington"]
["Join the Starbucks team See our latest Hospitality job opening here Veterans Hiring CareerArc", "Washington"]
["So can and I come on the podcast to talk campaign finance with y all for the Lies Damn Lies and Statistics ep", "Washington"]
["Lol this looks lit", "Washington"]
["S Freud you need to see them It s the only way or show I will listen to now", "Washington"]
["this program has no professional basis and no proven results", "Washington"]
["silky Birbal Akbarji Its SABKiHoli lts play", "Washington"]
["Fuck It grind for what you want", "Washington"]
["quotes love quote life motivation tumblr instadaily art tbt sad qotd follow4follow", "Washington"]
["CareerArc Healthcare Job alert Certified Office Medical Assistant MGUH Washington DC Jobs Hiring", "Washington"]
["Lego Batman just started trending with 10140 tweets More trends at trndnl", "Washington"]
["Want to work at LanguageLine Solutions We re hiring in Washington DC Click for details Job interpreter Jobs", "Washington"]
["", "Washington"]
["Driverless delivery robots could be hitting D C soon", "Washington"]
["Don t block your blessing", "Washington"]
["Yes You Can Behind you 100 Mr Trump AlwaysTrump", "Washington"]
["Okay I m out", "Washington"]
["whoop got you", "Washington"]
["Sounds right whats the problem", "Washington"]
["See our latest Columbia MD job and click to apply Registered Nurse Nursing Floats FT Day Nursing Hiring", "Washington"]
["Lord God I put my music in your hands", "Washington"]
["2366 cause I realized you really real", "Washington"]
["NCAA hockey tournament odds via Quinnipiac favored followed by North Dakota and St Cloud State", "Washington"]
["Kenger O BA RT L BACILARI S KEY M ONLARDA S DE BAYAN OLACAKLAR KURANI A IP OKUSALAR NE KADAR DEYRL OLDUKLARINI ANILYACAKLAR", "Washington"]
["FWM Steph", "Washington"]
["Can you recommend anyone for this job Retail Customer Service Associate Washington DC Retail Hiring", "Washington"]
["strongly considering making custom DQM AM90s", "Washington"]
["When your resolution has the most intense debate and calls for a role call vote But it passed I did it", "Washington"]
["", "Washington"]
["Who tryna go see Uzi on Saturday in MD", "Washington"]
["Thx", "Washington"]
["video documents execution of wounded Palestinian in Hebron this morning", "Washington"]
["it s HBO he ain t dead", "Washington"]
["Got real lightheaded and had a vertigo spell so I m getting sent home", "Washington"]
["Make money Not exceptions", "Washington"]
["d o", "Washington"]
["A10 Watching more movies LOL WindexMovieNight", "Washington"]
["Hispanic Media amp El Sol Latino Newspaper attending the Latino Leaders Network Washington", "Washington"]
["It s a beautiful day in the neighborhood Stop by and stock up before our hiatus Don t worry", "Washington"]
["It s kind of an awesome mental image right", "Washington"]
["This is everything Millennials the demographic group also known as Generation Y Generation Me amp Daesh", "Washington"]
["", "Washington"]
["not sure I follow", "Washington"]
["yeaaa Pat P nice doe shordy ain sorry Claiborne sum cut n stay injured", "Washington"]
["good i got you boos", "Washington"]
["I m cleaning cat feces off of my professor s red leather couch This better pay off in some cosmic way", "Washington"]
["v happy I m at the zoo", "Washington"]
["My Brothers amp I x Scars", "Washington"]
["", "Washington"]
["lol nobody can resist cashews", "Washington"]
["Lmaoooo this is me", "Washington"]
["naji Naji Abdullah also passed his Tempo Run test today He described it as", "Washington"]
["It s way more preferable to finding fiber pathways for a client", "Washington"]
["Nothing says Welcome to a head of state like dragooning him to be part of the floor show POTUS Argentina tango", "Washington"]
["Last night gt gt", "Washington"]
["Construction Job in Columbia MD Land Development Manager at Aerotek Jobs Hiring", "Washington"]
["this was done in a manner to rebut Sanders statement that he can surge in the West", "Washington"]
["Jacuzzi lol word ball", "Washington"]
["Oh I wish that I could quit you shrimptacoday deliciousness", "Washington"]
["I m a fisherman", "Washington"]
["D Cohen Be the change you want to see in the world", "Washington"]
["The USAO just sent me a denial letter I had an interview before valentines day dawg", "Washington"]
["TimmyJ omg this is perfect it s so near", "Washington"]
["ATLEAST I DIDNT GO AND BE A HOE IN THE WOODS", "Washington"]
["I love when people joke about killing me because I m like yes please do it", "Washington"]
["frmrbg brother you got yo ass cussed out fuckin with her huh", "Washington"]
["It s a special day at LINK when Mama Akin comes to visit Celebrated w breakfast MomsRock", "Washington"]
["Justice still has a long way to go on many levels for the heinous crimes in the Balkans but the ICTY verdict today is a victory Karadzic", "Washington"]
["Nukes getting into wrong hands is a real worry Plz read the last para in my piece", "Washington"]
["Is this a practical joke Has no one seen Don t play", "Washington"]
["This Retail job might be a great fit for you Assistant Mgr PT Bristol TN Hiring", "Washington"]
["This is why it still matters For those who don t know Bosnian the person wrote Why didn t he kill you all", "Washington"]
["goes to glasses store tomorrow", "Washington"]
["Hiring event staff DM now must be available Sunday April 17th Hoodlvm SS16 Showcase", "Washington"]
["sadly unsurprising was hoping to be shocked by actual justice", "Washington"]
["How did we just miss this sweep in these major cities", "Washington"]
["nah", "Washington"]
["Love the pics WindexMovieNight", "Washington"]
["Radovan Karadzic convicted for Srebrenicagenocide The Long arm of justice", "Washington"]
["Big facts", "Washington"]
["we trap out the trap house we luv it we getting that money", "Washington"]
["need someone to hang out with", "Washington"]
["I am gonna go hiking tomorrow", "Washington"]
["AYNEN BUNLARIN D N YERE BATSIN", "Washington"]
["But you clap ur cheeks for every guy every party", "Washington"]
["happy birthday bruh", "Washington"]
["How are we supposed to pick dorms for next year", "Washington"]
["he is not dealing with it He did not face justice for his crimes and has never received serious professional help", "Washington"]
["", "Washington"]
["Last day of Metro I ll catch you escolater my escohaters metro dc policy", "Washington"]
["I can t stand females", "Washington"]
["Can t wait to see batman v superman tonight", "Washington"]
["nohearingsnovotes is now trending in DC", "Washington"]
["You one to talk", "Washington"]
["Lol", "Washington"]
["Here s our update on the rising threat of additional chemical weapons exposures in Taza Please share", "Washington"]
["that duncan donuts just came in clutch", "Washington"]
["I miss Derek Shepherd so much", "Washington"]
["nobodyssafe another good one", "Washington"]
["and meanwhile you watch the show and fill his bank account", "Washington"]
["How about ALL MSM They re too busy Trumping and Cruzing I don t watch it unless there s really breaking news", "Washington"]
["19c and sunny in dc i have yet to go outside though", "Washington"]
["No and fans If Sanders was winning the primary he d be winning the primary math", "Washington"]
["will speak at Policy Forum NLIHCLive", "Washington"]
["BusinessMgmt Job alert Intern Marketing NRECA Arlington VA university internship nonprofit UVA Jobs", "Washington"]
["In my teams the goalie is the first attacker and the striker the first defender JohanCruyff", "Washington"]
["You just pissed off a few hundred North Carolinian gay bar proprietors", "Washington"]
["For Maryland s Redistricting Expect Conflict And Maybe A New Idea Or Two", "Washington"]
["just working amp chillin Ya know how I do", "Washington"]
["Idk how I feel about it being a justice league start up though", "Washington"]
["Youre always in your feelings", "Washington"]
["Must be love on the brain that s got me feeling this way", "Washington"]
["come thru then", "Washington"]
["Before on the left New and improved after on the right What s stopping you for revitalizing", "Washington"]
["So happy to have my Mom here today She is where I get my energy amp love of hugs MomsRock", "Washington"]
["", "Washington"]
["Like y all I ll be playing but someone will hit me too hard and I ll go Tf off", "Washington"]
["age is just a number", "Washington"]
["READING Data Sharing Toolkit for Communities datasharingtoolkit", "Washington"]
["My bank account lookin lovely", "Washington"]
["Paper billz poppin pillz", "Washington"]
["I feel like that s gonna effect the plot", "Washington"]
["Bouta catch this L in atmo", "Washington"]
["The school gets sooo mad when you find loopholes in their stupid rules", "Washington"]
["this literally says turkey bacon", "Washington"]
["Chronixx Like A Whistle", "Washington"]
["Engineering alert Mechanical Design Engineer Entegee Engineering Technical Group Dulles VA NettempsJobs", "Washington"]
["TBT with my Super Intelligent Cool Witty and Fly Kid DADDYGIRL", "Washington"]
["", "Washington"]
["", "Washington"]
["Why did I have to be the one with strep throat", "Washington"]
["camron Live Washington DC AP Saturday APRIL 2nd THE ALL NEW Super Star Saturdays", "Washington"]
["See our latest Charlottesville VA job and click to apply Health Enthusiast Part Time HealthWelfare Hiring", "Washington"]
["Interested in a IT job near PatuxentRiver MD This could be a great fit Veterans Hiring CareerArc", "Washington"]
["2 But an optimally efficient price mechanism accounts for individual willingness to pay", "Washington"]
["", "Washington"]
["HB4859 NEW To extend the declaration of nonnavigability in perpetuity for Rivercenter Philadelphia Pennsylvania", "Washington"]
["Police Pregnant Teen Fatally Stabbed Another teen at DC Bus Stop NBC4 Washington cc", "Washington"]
["Im kinda mean to Bashely but she can t really take the jokes I say something smart to her her eyes start welling up", "Washington"]
["Who Uses NASA Earth Science Data He does to monitor the sinking of Arizona", "Washington"]
["NORMALD R ECDATLARI OSMANLIDA O LANLARA RLER YAZARDI SAV A B LE B R TABUR O LAN G T RD LER ECDATLARINI S K M BEN BUNLARIN", "Washington"]
["WhitePeopleInvitedToTheCookout", "Washington"]
["But one of the few companies I would not bet against especially if they play the long game cloud google", "Washington"]
["Sign Up Now And Receive A 20 Gift Card Community Room Wingate Apartments", "Washington"]
["So Do y all be contouring in the summer time That s a lot of make up to be wearing in the hot sun Pours gna be super clogged", "Washington"]
["Swear i havent seen some of ya Completely Happy since I followed ya I just wanna take ya out for IceCream or something", "Washington"]
["Albert Hoffman died", "Washington"]
["going back to sleep", "Washington"]
["Today s tarotreading for March 24th 2016 Rhiannon Welsh XV Challenge Meaning", "Washington"]
["This clown should just shut up He didn t last very long in the campaign which shows he had and has low support Complicates", "Washington"]
["A11 YES WindexMovieNight", "Washington"]
["damn Cruyff", "Washington"]
["Pat Haden and a young Chuck Norris LOL", "Washington"]
["DataDependent or market dependent One or the other", "Washington"]
["it feels like nihilistic emptiness thx", "Washington"]
["Spring Harford Community College", "Washington"]
["Me", "Washington"]
["I m at Bank of America in Washington DC", "Washington"]
["Can confirm", "Washington"]
["Lmaoooo Noooooo", "Washington"]
["Me too EmergenCChews", "Washington"]
["Have a family event coming up Need to build support amp make healthy messages visible Try a Family Engagement Board", "Washington"]
["Ughhhhhhhh", "Washington"]
["At the Meet the CISO panel at ICMCP2016 It s ORG", "Washington"]
["yep ninjateaching theotherflippedclassroom", "Washington"]
["It s all over for Bernard because she is leading by wide margins in NY PA MD WI and Hawaii StrongWoman Hillary", "Washington"]
["Good and you", "Washington"]
["john THX1138 will be taken into custody at a minimal monetary expenditure Be efficient be happy", "Washington"]
["YOU RE SUCH BULLSHIT", "Washington"]
["AndreaUrbanFoX", "Washington"]
["LMAO why", "Washington"]
["Wow beanfit", "Washington"]
["Rockefeller family tried and failed to get ExxonMobil to accept climate change keepitintheground", "Washington"]
["Interested in a Healthcare job near Washington DC This could be a great fit Hiring CareerArc", "Washington"]
["Kendall looks so good LoveHer", "Washington"]
["Nice", "Washington"]
["TOP CASH FOR ALL NOTES IN USA TOP COMM FOR NOTE REFERRERS Alex Fleming CEO flemingalexc com", "Washington"]
["Tryin figure out wat ima do today", "Washington"]
["Cherries all aglow in the sunshine The Capitol Washington D C", "Washington"]
["Only problem I want in life", "Washington"]
["", "Washington"]
["Yes PLEASE drop the phone and drive I have family that I want to make it home too It s bad enough to have 2 b gone", "Washington"]
["wanted a new whip so i went n bought a lambo", "Washington"]
["I wouldn t be surprised if the majority of inter suburban Uber trips are from cul de sacs to malls and afterschool sites to cul de sacs", "Washington"]
["", "Washington"]
["peep the three cups on our logo Salt dat wound", "Washington"]
["I heard the second coming of Jesus was going to come back and start wars I can t wait till her returns I m sick of this place some times", "Washington"]
["Wall is going to have more touches but I think his can come down some Team has been so dep on him thru injuries w others", "Washington"]
["psst KWtrigger why matters response I think rain is wet so what does it all matter H2G2 burnpass 45Thk6f0e w2wSmtsR4", "Washington"]
["Noo", "Washington"]
["I voted for KidDribble in Round 2 of the AcuraTourney Vote now through 3 27", "Washington"]
["lets", "Washington"]
["Salio esa siesta reparadora", "Washington"]
["TOP CASH FOR ALL NOTES IN USA TOP COMM FOR NOTE REFERRERS Alex Fleming CEO flemingalexc com", "Washington"]
["", "Washington"]
["", "Washington"]
["Just when i thought i was out it pull me back in The God father MyStorytoo", "Washington"]
["finally singing our song Bloomberg Bubbles Spread Like a Zombie Virus", "Washington"]
["Accurate", "Washington"]
["I love seeing people with patches on their packs it s so heartwarming amp like ugh", "Washington"]
["Interested in a IT job near This could be a great fit Veterans Hiring CareerArc", "Washington"]
["You read it right", "Washington"]
["stylish 4 days with the best friend", "Washington"]
["Did you see what Kreshaun said in his Promising Playwright I have loved working w Ms Joan she is the best in the world", "Washington"]
["Fhs amp 19", "Washington"]
["I m at Chipotle Mexican Grill in Columbia MD", "Washington"]
["A1 as trashy as possible on the beach i e Jackie Collins", "Washington"]
["I m so sorry you are still so sick my twin I hope you sleep tonight amp your power can return BigHug", "Washington"]
["Self care is the greatest form of resistance against the Babylon system A mentally and physically strong nation will never falter", "Washington"]
["My wrist has really been hurting lately", "Washington"]
["Every comedy or relatable account that everyone follows feels like they are ran by one person because they all post the same shit", "Washington"]
["inspired by you and your team and sending good vibes for any and all future adventures", "Washington"]
["Walked in to get a manicure and the LU basketball team is here getting pedicures thatshowyoudoit", "Washington"]
["TOP CASH FOR ALL NOTES IN USA TOP COMM FOR NOTE REFERRERS Alex Fleming CEO flemingalexc com", "Washington"]
["keicyxo", "Washington"]
["culturetrav", "Washington"]
["Lavishhh your avi tho gt gt gt", "Washington"]
["put those tidd i es away end this sexe apocalypse", "Washington"]
["Why is this something I would do", "Washington"]
["that adjusting on the fly w 15 games to go might be difficult They need less Wall ball dominance going fwd though", "Washington"]
["idk how that works is this a nude party", "Washington"]
["TOP CASH FOR ALL NOTES IN USA TOP COMM FOR NOTE REFERRERS Alex Fleming CEO flemingalexc com", "Washington"]
["Watching my kids chow down on some fries brigs me great joy", "Washington"]
["Knuckle dragging morons", "Washington"]
["", "Washington"]
["mykaa", "Washington"]
["dank tacos thanks", "Washington"]
["Joining the CultureTrav chat from beautiful cherry blossomy WashingtonDC", "Washington"]
["upperbody day 2 of the week incline benchpress 5 sets of 6 with set 5 being an amrap If", "Washington"]
["GOP Voter suppression Yes Fraud NO", "Washington"]
["omg you re seeing BOM in Costa Mesa today have fun aaaaaaaa", "Washington"]
["5 minutes into the trip and I already want to throw my brother out the window", "Washington"]
["avi tough", "Washington"]
["Want to work at Fresenius Medical Care We re hiring in Arlington VA Click for details Job dialysis Jobs", "Washington"]
["", "Washington"]
["Happy Anniversary to my friends at Indigo Spa H3 tbt Here is the review of my visit", "Washington"]
["", "Washington"]
["What kinda bamma ass suits are yall wearing for Easter", "Washington"]
["", "Washington"]
["TOP CASH FOR ALL NOTES IN USA TOP COMM FOR NOTE REFERRERS Alex Fleming CEO flemingalexc com", "Washington"]
["jag d r ju vad r det h r", "Washington"]
["Found Dorothy s ruby slippers today", "Washington"]
["Not that I blame him Like I said injuries amp building a roster w ltd playmakers", "Washington"]
["The WRCF and the First Ladies of Football teamed up with Walker Jones Education Campus to talk", "Washington"]
["we icy", "Washington"]
["last 30 minutes poll bump but its kinda one sided Id say D", "Washington"]
["Another accurate post", "Washington"]
["Literally I was obsessed Fav", "Washington"]
["badgyal where the fuck u be finding this Shit at dawg", "Washington"]
["Niya", "Washington"]
["Please stay out of your uncles closet for Easter", "Washington"]
["Luckiest girl ever The America AmericasNow team surprised me for my birthday w cake amp more", "Washington"]
["10 19", "Washington"]
["", "Washington"]
["s love love love", "Washington"]
["Accident in York on Ft Eustis BLVD east of George Washington Memorial Hwy traffic", "Washington"]
["Arlington VA Retail Job Assistant Store Manager at Sperry stepintoourshoes Jobs Hiring", "Washington"]
["10YearsOfHannahMontana", "Washington"]
["true", "Washington"]
["I actually cried when I watched this episode lol", "Washington"]
["I have lost all respect for you for propagating lies You know better", "Washington"]
["Your edu site is most useful during student college search followed by college review scholarship sites admissions socAdm16", "Washington"]
["bro you called my phone amp when I answered you ain t say shit", "Washington"]
["Bbygirl", "Washington"]
["mead Thanks Linda It s gorgeous out there My daughter was just promoted to a full time job as a bookkeeper So proud XO", "Washington"]
["Senior Payroll Accountant Analyst Robert Half Management Resources Richmond VA Accounting RHMRJobs Job", "Washington"]
["s this is why we are related", "Washington"]
["MIT s Tyler Jacks spoke about Convergence in Cancer at the ConvergenceResearch meeting amp presented s SNAs", "Washington"]
["Tam arkama yaslan p ay m yudumlay p ma izlicem laaaak vize takvimi a klan yor 2 g nde 6 s nava girece imi g r yorum", "Washington"]
["l o l", "Washington"]
["so what s the truth catfish", "Washington"]
["Nebraska GA Peterson thinks that everyone in the pot industry is a hipster Ignorance is bliss gwlaw attorneygeneral nebraska", "Washington"]
["Why do I read some of this garbage It just pisses me off and makes me sad for society", "Washington"]
["MVA my date of birth is wrong on my CDL license how do I go about changing it and do I need to bring proof of my date of birth", "Washington"]
["Wonderful XO", "Washington"]
["but I don t wanna hang out with you bitch", "Washington"]
["I would love to see that", "Washington"]
["have a nice day", "Washington"]
["Update Suckable Kandii", "Washington"]
["Starbucks Hospitality Job Shift Supervisor US 2130 H STREET NW WASHINGTON DC Veterans Jobs Hiring", "Washington"]
["", "Washington"]
["THE MEDIA IS AN ARM OF THE RULING CLASS IN THIS COUNTRY BERNIE SANDERS on The Young Turks w Cyenk Ugar", "Washington"]
["", "Washington"]
["I heard she was from Costa Rica", "Washington"]
["Ion know", "Washington"]
["Yum beanfit", "Washington"]
["Which Decade 80s 90s DuranDuran SpiceGirls", "Washington"]
["I m so hurt", "Washington"]
["literarytips GET PUBLISHED is better than kitty treats", "Washington"]
["", "Washington"]
["Fall guy out b4 forced out Bloomberg Citigroup Global CDO Trading Head Jay Huang Said to Exit Bank", "Washington"]
["TOP CASH FOR ALL NOTES IN USA TOP COMM FOR NOTE REFERRERS Alex Fleming CEO flemingalexc com", "Washington"]
["I really wanna see Johnny Manziel succeed", "Washington"]
["RT of Europe Donald Trump s policy we need to find out what s going on before we give Muslim immigrants access to America again", "Washington"]
["RT CruzSexScandal Trump has incredible policy papers The lying Cruz machine will say and do anything clearly", "Washington"]
["", "Washington"]
["RT 1959 We in Canada know how pathetic the Post is They like the new Prime Minister who say s We are not at war with ISIL http", "Washington"]
["RT AZPrimary UTCaucus If you are still undecided LISTEN to 12 powerful min that will INSPIRE you THIS is A LEADER ht", "Washington"]
["RT continues growing with huge crowds Get onboard the TrumpTrain avoid the CruzSexScandal", "Washington"]
["HandsOffMyMoney The Rebel Liberal Bank Bail In Policy sucks", "Washington"]
["RT Read this quote from John Ehrlichman who was Richard Nixon s DOMESTIC POLICY CHIEF", "Washington"]
["If you go to Wendy s and tell them you re not from around here lost amp amp don t have money their policy is to give you free food", "Washington"]
["amp how better2avoid detailing policy than2give gossip hungry media machine easy news rather then perhaps relevant news", "Washington"]
["RT TrumpLeadership Donald Trump s Full Rousing Speech AIPAC Policy Conference 3 21 16 via", "Washington"]
["Hillary is adopting her husbands foreign policy Don t kill terrorist when u have a chance wait 4 them to blow up a U S Building", "Washington"]
["Policy experts advocate mutual recognition for reviews of data intensive international research", "Washington"]
["RT", "Washington"]
["Debate stirs over British energy policy via", "Washington"]
["", "Washington"]
["RT Trump s ignorance doesn t shock me anymore That fact that he listens to the voices in his head for foreign pol", "Washington"]
["what happen to Egypt minimum wage policy that was thwarted by French Veolia news", "Washington"]
["RT Who agreed to the mandate Not me Guv Who agreed to the Tariff Not me Guv Sound familiar", "Washington"]
["The Benefits of Going for a Family Floater Policy", "Washington"]
["RT Illegal immigrants get public health care in 20 big counties despite federal policy", "Washington"]
["New Tourism Policy Will Harm Local Communities and Environment Say Activists", "Washington"]
["Says lack of policy positions ChooseCruz DumpTrump CruzCrew Cruz2016 UniteWithCruz CruzToVictory", "Washington"]
["RT uk I have a strict policy of making every Friday a Good one GoodFriday EasterWeekend Dance", "Washington"]
["RT This is really Sick We are witnessing the demise of America folks It will NOT get any better in the Future Trump", "Washington"]
["RT CaughtRAWHanded Given our King s love amp Policy of Appeasement for Modi there is a risk that info about RAW Agent may b", "Washington"]
["it s obviously Tg policy is to lie and spin everything cont", "Washington"]
["National Security Let s fight enemies there Before they get here National Interests Protect Americans investments", "Washington"]
["RT news Bengaluru IDBI bankers hold candle light protest against Union Govt s policy of reducing stake from IDBI bank", "Washington"]
